"text","id"
"RT @adamhlavac: Thank you, everyone, for watching our @Avengers: #InfinityWar trailer reaction! 700,000 views for 7 of the internet's might…",1
"RT @Disney: ""There was an idea… ” @Avengers: #InfinityWar. In theaters May 4. https://t.co/EvQKXM3Jq1",2
"RT @Disney: ""There was an idea… ” @Avengers: #InfinityWar. In theaters May 4. https://t.co/EvQKXM3Jq1",3
"RT @Disney: ""There was an idea… ” @Avengers: #InfinityWar. In theaters May 4. https://t.co/EvQKXM3Jq1",4
"RT @Disney: ""There was an idea… ” @Avengers: #InfinityWar. In theaters May 4. https://t.co/EvQKXM3Jq1",5
"Every damn day ������@RealHughJackman @joss @Marvel @Avengers @chrishemsworth @MarkRuffalo @ChrisEvans @RobertDowneyJr C… https://t.co/mDytIFcwBi",6
"RT @Avengers: Thanks, @TomHolland1996. Thanks, @MarkRuffalo. #InfinityWar (via @TomHolland1996's Instagram Live) https://t.co/MidhVRE8Bw",7
"RT @Marvel: “There was an idea…” 
Marvel Studios' ""@Avengers: #InfinityWar"" in theaters May 4. https://t.co/ll7LllUFaV",8
"RT @angelycordy: James Spader in @Avengers Thor's hammer! #Ultron #TheAvengers ❤️❤️❤️❤️ https://t.co/pIPCxUu2KM",9
"RT @Disney: ""There was an idea… ” @Avengers: #InfinityWar. In theaters May 4. https://t.co/EvQKXM3Jq1",10
"RT @Disney: ""There was an idea… ” @Avengers: #InfinityWar. In theaters May 4. https://t.co/EvQKXM3Jq1",11
"RT @MarvelStudios: Action...@Avengers #InfinityWar https://t.co/KHo8wlNVZc",12
"RT @Disney: ""There was an idea… ” @Avengers: #InfinityWar. In theaters May 4. https://t.co/EvQKXM3Jq1",13
"RT @FandomWireNews: One Major Character Might Not Make It Out Of @MarvelStudios' '@Avengers 4' https://t.co/QJBQ4aUorg https://t.co/HbLiqWP…",14
"RT @Disney: ""There was an idea… ” @Avengers: #InfinityWar. In theaters May 4. https://t.co/EvQKXM3Jq1",15
"RT @Avengers: “There was an idea…” 
Marvel Studios' ""Avengers: #InfinityWar"" in theaters May 4. https://t.co/V8bIxpemV8",16
"RT @Disney: ""There was an idea… ” @Avengers: #InfinityWar. In theaters May 4. https://t.co/EvQKXM3Jq1",17
"RT @MarvelStudios: “There was an idea…"" @Avengers: #InfinityWar. In theaters May 4. https://t.co/vJTbkwPgbQ",18
"RT @Disney: ""There was an idea… ” @Avengers: #InfinityWar. In theaters May 4. https://t.co/EvQKXM3Jq1",19
"RT @Disney: ""There was an idea… ” @Avengers: #InfinityWar. In theaters May 4. https://t.co/EvQKXM3Jq1",20
"RT @Marvel: “There was an idea…” 
Marvel Studios' ""@Avengers: #InfinityWar"" in theaters May 4. https://t.co/ll7LllUFaV",21
"@Marvel - our Elf-on-the-Shelf and trusty reindeer sidekick offered his help to the @Avengers when a certain Mad Ti… https://t.co/EfhTOXygF0",22
"RT @Disney: ""There was an idea… ” @Avengers: #InfinityWar. In theaters May 4. https://t.co/EvQKXM3Jq1",23
"@Mathieunorry @lindyloudoo @Marvel @KingOfSunshine @Avengers I think you right by saying this is your personal opin… https://t.co/1mlyERPHs0",24
"RT @Disney: ""There was an idea… ” @Avengers: #InfinityWar. In theaters May 4. https://t.co/EvQKXM3Jq1",25
"RT @Marvel: “There was an idea…” 
Marvel Studios' ""@Avengers: #InfinityWar"" in theaters May 4. https://t.co/ll7LllUFaV",26
"RT @Avengers: “There was an idea…” 
Marvel Studios' ""Avengers: #InfinityWar"" in theaters May 4. https://t.co/V8bIxpemV8",27
"RT @Disney: ""There was an idea… ” @Avengers: #InfinityWar. In theaters May 4. https://t.co/EvQKXM3Jq1",28
"RT @zoesaldana: @Avengers: INFINITY WAR - in theaters May 5th, 2018
@marvel @Guardians https://t.co/pTzVmVyEyT",29
"RT @Avengers: “There was an idea…” 
Marvel Studios' ""Avengers: #InfinityWar"" in theaters May 4. https://t.co/V8bIxpemV8",30
"@MarvelStudios @Avengers Just wondering if we're going to find out next May that Thanos uses the Infinity Gauntlet… https://t.co/q6lrRQyuIx",31
"RT @Avengers: Check out the new teaser poster for Marvel Studios' ""Avengers: #InfinityWar."" https://t.co/oQMMFIPDDb",32
"RT @Disney: ""There was an idea… ” @Avengers: #InfinityWar. In theaters May 4. https://t.co/EvQKXM3Jq1",33
"RT @Avengers: “There was an idea…” 
Marvel Studios' ""Avengers: #InfinityWar"" in theaters May 4. https://t.co/V8bIxpemV8",34
"RT @FandomWireNews: One Major Character Might Not Make It Out Of @MarvelStudios' '@Avengers 4' https://t.co/QJBQ4aUorg https://t.co/HbLiqWP…",35
"RT @Avengers: “There was an idea…” 
Marvel Studios' ""Avengers: #InfinityWar"" in theaters May 4. https://t.co/V8bIxpemV8",36
"RT @Avengers: “There was an idea…” 
Marvel Studios' ""Avengers: #InfinityWar"" in theaters May 4. https://t.co/V8bIxpemV8",37
"RT @Avengers: “There was an idea…” 
Marvel Studios' ""Avengers: #InfinityWar"" in theaters May 4. https://t.co/V8bIxpemV8",38
"@iammilorex @Avengers REALLY?! ������������������������������������",39
"@JonSchnepp @MarvelStudios @FantasticFour @XMenMovies @BurnettRM @enthusiamy @DisneyStudios @Avengers @Collider… https://t.co/l80FE19bfY",40
"RT @GMA: The first trailer for @Avengers: #InfinityWar https://t.co/nC0LffUC0d",41
"RT @Avengers: Two thirsty heroes. Only one #CokeMini. Witness the epic chase between @AntMan and the @Hulk. Who will prevail?
https://t.co/…",42
