"text","id"
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",1
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",2
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",3
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",4
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",5
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",6
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",7
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",8
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",9
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",10
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",11
"@CaptainAmerica Do You Have Any Netflix Punisher T-Shirts?",12
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",13
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",14
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",15
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",16
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",17
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",18
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",19
"@CaptainAmerica It's sad that people in Asia aren't getting these cool things",20
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",21
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",22
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",23
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",24
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",25
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",26
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",27
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",28
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",29
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",30
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",31
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",32
"RT @baddangelfromig: #Halloween2017 @CaptainAmerica I hope I made him proud Ì†ºÌ∑∫Ì†ºÌ∑∏ https://t.co/1hvq7E0xaw",33
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",34
"@CaptainAmerica Go soldier....",35
"@ralfotos @CaptainAmerica *wrath Ì†ΩÌ±ì",36
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",37
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",38
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",39
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",40
".@CaptainAmerica I stand with #TeamCap. #TweetMe
https://t.co/PPhwu8R7tG",41
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",42
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",43
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",44
"@Marvel @SpiderManMovie @BlackPantheries @MarkRuffalo this should be the winner @thorofficial @CaptainAmerica‚Ä¶ https://t.co/yHdqag5uss",45
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",46
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",47
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",48
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",49
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",50
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",51
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",52
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",53
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",54
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",55
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",56
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",57
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",58
"RT @effortfuleduktr: Best drawing ever of @CaptainAmerica.  Don‚Äôt @ me. https://t.co/iq7rqstM21",59
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",60
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",61
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",62
